career_title,category,description,required_skills,average_salary_ugx_monthly,salary_range_ugx,growth_rate,top_employers_uganda,education_required,experience_years,remote_possible
Software Developer,Technology,"Designs builds and maintains software applications and systems. One of the fastest growing careers in Uganda with Kampala becoming a tech hub.","Python,JavaScript,React,Node.js,Git,Problem Solving,Databases","3500000","2000000-6000000",High,"Andela,Makerere University,MTN Uganda,Stanbic Bank,NITA-U,Safeboda,Umeme,Cipla,Fenix International",BSc Computer Science or related,0-2,Yes
Data Analyst,Technology,"Collects cleans and interprets data to help organisations make better decisions. High demand in banking telecom and NGOs in Uganda.","Excel,SQL,Python,Tableau,Power BI,Statistics,Data Visualization","2800000","1800000-5000000",High,"Stanbic Bank,DFCU Bank,MTN Uganda,Airtel Uganda,UBOS,World Bank Uganda,UNICEF Uganda",BSc Statistics Mathematics or Computer Science,0-2,Yes
UX/UI Designer,Technology,"Creates user interfaces and experiences for websites and mobile apps. Growing demand as Ugandan businesses go digital.","Figma,Adobe XD,User Research,Wireframing,Prototyping,CSS,Design Thinking","2500000","1500000-4500000",High,"Andela,Safeboda,Jumia Uganda,MTN Uganda,local design agencies",BSc Design or HCI or self-taught with portfolio,0-2,Yes
Digital Marketer,Business,"Plans and executes online marketing campaigns using social media SEO email and paid advertising. Every Ugandan business now needs this.","Social Media,SEO,Google Ads,Content Creation,Analytics,Copywriting,Email Marketing","2000000","1200000-4000000",High,"Jumia Uganda,MTN Uganda,Airtel Uganda,banks,NGOs,media houses",Bachelors in Marketing or Communications,0-2,Yes
Accountant,Finance,"Manages financial records prepares reports ensures compliance with tax laws. Stable career with demand across all sectors in Uganda.","Accounting,QuickBooks,Taxation,Financial Reporting,Auditing,Excel,URA regulations","2500000","1500000-5000000",Medium,"KPMG Uganda,Deloitte Uganda,PwC Uganda,Stanbic Bank,government ministries,NGOs",BCom Accounting or CPA qualification,0-2,No
Nurse,Healthcare,"Provides patient care administers medication and supports doctors. Critical profession with government and private hospital demand across Uganda.","Patient Care,Clinical Skills,Medical Knowledge,Empathy,Emergency Response,Documentation","1800000","1200000-3500000",High,"Mulago Hospital,Mengo Hospital,Case Hospital,Aga Khan Hospital,government health centres",Bachelor of Nursing Science,0-2,No
Teacher/Educator,Education,"Educates students at primary secondary or tertiary level. Backbone of Uganda's development with demand in schools across all districts.","Subject Knowledge,Communication,Classroom Management,Lesson Planning,Assessment,Patience","1200000","800000-2500000",Medium,"Government schools,private schools,Makerere University,international schools,UNEB",Bachelor of Education or subject degree with PGDE,0-2,No
Business Analyst,Business,"Bridges gap between business needs and technology solutions. Analyses processes identifies improvements and manages stakeholder requirements.","Requirements Gathering,Process Mapping,SQL,Excel,Communication,Problem Solving,Agile","3000000","2000000-5500000",High,"Stanbic Bank,MTN Uganda,DFCU Bank,consulting firms,NGOs","Bachelors in Business,IT or related",1-3,Yes
Project Manager,Management,"Plans executes and closes projects on time within budget. High demand in construction NGOs telecom and tech sectors in Uganda.","Project Planning,Risk Management,Stakeholder Communication,MS Project,Agile,Scrum,Budgeting","3500000","2500000-7000000",High,"World Bank Uganda,USAID,NGOs,MTN Uganda,construction firms,government",Bachelors plus PMP or Prince2 certification,2-5,Yes
Civil Engineer,Engineering,"Designs and oversees construction of roads bridges buildings and infrastructure. Booming sector with Uganda's ongoing infrastructure development.","AutoCAD,Structural Analysis,Construction Management,Mathematics,Project Management,Site Supervision","3000000","2000000-6000000",High,"Uganda National Roads Authority,Ministry of Works,construction companies,consultancies",BSc Civil Engineering,0-2,No
