university_name,location,type,established,notable_courses,entry_requirements,approximate_tuition_ugx_per_year,duration_years,accreditation,special_notes
Makerere University,Kampala,Public,1922,"Computer Science,Software Engineering,Information Technology,Medicine,Law,Engineering,Business,Social Sciences,Agriculture,Education","Uganda Advanced Certificate of Education (UACE) with minimum 2 principal passes; for science courses minimum credits in Maths and Physics","1200000-3500000",3-5,National Council for Higher Education (NCHE),"Oldest and most prestigious university in Uganda. Strong research culture. High employer recognition. Has a vibrant innovation hub - the Makerere Innovation Hub."
Kyambogo University,Kampala,Public,2003,"Engineering,Education,Vocational Studies,Business,Social Sciences,Special Needs Education","UACE with 2 principal passes; vocational entry also accepted","800000-2000000",3-5,NCHE,"Specialises in technical and vocational education. Best for engineering and education degrees in Uganda."
Makerere University Business School (MUBS),Kampala,Public,1997,"Business Administration,Accounting,Finance,Marketing,Entrepreneurship,Procurement","UACE with 2 principal passes; business background preferred","1000000-2500000",3-4,NCHE,"Uganda's top business school. Produces most of the corporate sector professionals. Strong industry connections."
Uganda Christian University (UCU),Mukono,Private,1997,"Law,Business,Education,Social Sciences,Computer Science,Mass Communication","UACE with 2 principal passes; Christian values alignment","2500000-5000000",3-5,NCHE,"Leading private university. Strong law and business programmes. Beautiful campus in Mukono."
Nkumba University,Entebbe,Private,1994,"Tourism,Business,Computing,Social Sciences,Education","UACE with 2 principal passes","1500000-3500000",3-4,NCHE,"Known for tourism and hospitality management. Near Entebbe airport."
Uganda Martyrs University (UMU),Nkozi,Private,1993,"Business,Development Studies,Health Sciences,Education,Computer Science","UACE with 2 principal passes","2000000-4000000",3-5,NCHE,"Catholic university with strong ethics focus. Good development studies programme."
Kampala International University (KIU),Kampala,Private,2001,"Medicine,Nursing,Business,Law,Computer Science,Engineering","UACE with 2 principal passes; medicine requires strong sciences","2000000-6000000",3-7,NCHE,"One of Uganda's largest private universities. Known for medicine and nursing programmes. Multiple campuses."
International University of East Africa (IUEA),Kampala,Private,2009,"Computing,Business,Engineering,Law","UACE with 2 principal passes","2500000-4500000",3-4,NCHE,"Modern campus in Kampala. Growing technology programmes."
Cavendish University Uganda,Kampala,Private,2008,"Business,IT,Law,Education","UACE with 2 principal passes","2000000-4000000",3-4,NCHE,"Affiliated with Cavendish University UK. Good for business and IT."
Clarke International University,Kampala,Private,2016,"Public Health,Nursing,Business,Computer Science","UACE with 2 principal passes","2500000-5000000",3-4,NCHE,"Formerly International Health Sciences University. Strong health sciences focus."
Gulu University,Gulu,Public,2002,"Agriculture,Education,Business,Medicine,Law","UACE with 2 principal passes","800000-2000000",3-5,NCHE,"Main public university in northern Uganda. Important for regional development."
Busitema University,Tororo,Public,2007,"Engineering,Agriculture,Education,Health Sciences","UACE with minimum credits in sciences for engineering","700000-1800000",3-5,NCHE,"Public university specialising in science and technology. Growing engineering department."
Mountains of the Moon University,Fort Portal,Public,2005,"Tourism,Business,Education,Health Sciences","UACE with 2 principal passes","700000-1800000",3-4,NCHE,"Located in western Uganda. Tourism management is a standout programme."
