career,question,category,sample_answer,coaching_tip
General,Tell me about yourself.,Behavioral,"I am a recent graduate in [your field] from [your university]. During my studies I [mention key project or achievement]. I am passionate about [your field] and particularly interested in [specific area]. I am excited about this opportunity because [specific reason related to the company].",Keep it to 90 seconds. End with why you want THIS specific job. Do not recite your CV word for word.
General,Why do you want to work here?,Behavioral,"I have followed [Company] for some time and I am impressed by [specific achievement or product]. Your work on [specific project] aligns with my interest in [area]. I believe I can contribute [specific skill] while growing in [area you want to develop].","Research the company before the interview. Mention something specific - a product, a news story, their mission. Generic answers fail."
General,What is your greatest weakness?,Behavioral,"I sometimes take on too much work because I want to make sure everything is done well. I have been addressing this by learning to prioritise tasks using project management tools and communicating clearly with my team when I need support.","Never say you have no weaknesses. Pick a real weakness but show what you are actively doing to improve it. Avoid weaknesses that are core to the job."
General,Where do you see yourself in 5 years?,Behavioral,"In five years I see myself as a skilled [role] who has made meaningful contributions to [field]. I hope to have taken on more responsibility and possibly be mentoring junior team members. I am particularly interested in developing expertise in [specific area relevant to the company].","Show ambition but keep it realistic. Align your goals with what the company can offer. Do not say you want to start your own company."
General,Why should we hire you?,Behavioral,"You should hire me because I bring [specific skill 1] and [specific skill 2] which directly match your requirements. In my previous experience I [specific achievement with numbers if possible]. I am also a fast learner who [example of adapting quickly]. Most importantly I am genuinely passionate about [field] and committed to delivering results.","This is your sales pitch. Be specific and confident. Mention 2-3 concrete reasons backed by evidence. Do not be vague."
General,Tell me about a challenge you faced and how you solved it.,Behavioral,"During my final year project I encountered [specific challenge]. I addressed this by first [step 1] then [step 2]. The result was [positive outcome]. I learned that [lesson from the experience].","Use the STAR method: Situation Task Action Result. Keep it professional. Pick a challenge that shows problem-solving skills."
General,How do you handle working under pressure?,Behavioral,"I actually perform well under pressure. When I face tight deadlines I break the work into smaller tasks prioritise the most critical ones and focus on one thing at a time. For example during [specific situation] I managed to [positive outcome] despite the time constraints.","Give a real example. Saying you work well under pressure without evidence is not convincing. Describe your actual coping strategy."
Software Developer,Explain the difference between frontend and backend development.,Technical,"Frontend development focuses on what users see and interact with - the visual interface built with HTML CSS and JavaScript frameworks like React. Backend development handles the server side - databases business logic and APIs built with languages like Python Node.js or Java. Full-stack developers work on both sides.","Draw a clear boundary. Frontend is what the user sees. Backend is what the server does. Give examples of technologies for each."
Software Developer,What is version control and why is it important?,Technical,"Version control is a system that tracks changes to code over time. Git is the most popular version control system. It is important because it lets multiple developers work on the same codebase simultaneously prevents code loss allows you to revert to previous versions and maintains a history of all changes made.","Mention Git specifically. Talk about collaboration benefits. If you have used GitHub mention it."
Software Developer,Describe a project you have built.,Technical,"I built [project name] which is a [type of application] that [what it does]. I used [technologies] for the frontend and [technologies] for the backend. The main challenge I solved was [technical challenge]. The project helped me learn [specific skills]. You can see it on my GitHub at [link].","Always have a project ready to discuss in detail. Know your code well enough to explain any part of it. Have GitHub link ready."
Software Developer,What is an API?,Technical,"An API - Application Programming Interface - is a set of rules that allows different software applications to communicate with each other. For example when a mobile app shows weather data it uses a weather API to request that data from a remote server. APIs enable integration between different systems without sharing source code.","Use a simple real world example. Ugandan interviewers often ask about M-Pesa or MTN Mobile Money APIs as examples."
Data Analyst,How do you handle missing data in a dataset?,Technical,"There are several approaches depending on the context. For small amounts of missing data I might remove those rows. For important variables I use imputation - replacing missing values with the mean median or mode. For time series data I use forward fill. I always document my approach and check how missing data might bias my analysis.","Show you understand the implications of each approach. Never just say you delete missing data without explanation."
Data Analyst,Explain the difference between a left join and an inner join in SQL.,Technical,"An inner join returns only rows where there is a match in both tables. A left join returns all rows from the left table and matching rows from the right table - unmatched rows from the right table show as NULL. For example if joining a customers table with orders an inner join shows only customers who have made orders while a left join shows all customers including those with no orders.","Use a concrete example. SQL joins are asked in almost every data analyst interview in Uganda's banking sector."
Data Analyst,How would you explain a complex finding to a non-technical manager?,Behavioral,"I focus on the business impact rather than the technical details. Instead of saying the correlation coefficient is 0.85 I would say there is a very strong relationship between these two factors meaning when one increases the other almost always increases too. I use visualisations like clear charts to make patterns obvious and always connect findings to business decisions.","This question tests communication skills as much as technical skills. Practice explaining your work simply."
UX/UI Designer,Walk me through your design process.,Behavioral,"My design process starts with understanding the user through research - interviews surveys and competitor analysis. I then define the problem clearly before ideating solutions through sketching and wireframing. I create prototypes in Figma and test them with real users. Based on feedback I iterate until the design solves the problem effectively. I always involve stakeholders throughout the process.","Mention specific tools like Figma. Show that design is a process not just making things look nice. Mention user testing."
Project Manager,How do you handle a project that is behind schedule?,Behavioral,"First I assess the root cause of the delay - is it resource constraints scope creep or technical challenges. I then communicate transparently with stakeholders about the situation. I work with the team to identify tasks that can be fast-tracked or run in parallel. If necessary I negotiate with the client to adjust scope or timeline. I document lessons learned to prevent similar delays in future projects.","Show that you communicate proactively not hide problems. Mention stakeholder management. Use a real example if you have one."
General,What are your salary expectations?,Behavioral,"Based on my research into the market rate for this role in Uganda and considering my qualifications and experience I am looking for something in the range of [UGX X to Y] per month. However I am open to discussion and I am most interested in the overall opportunity for growth and impact.","Research the market rate before your interview. Give a range not a single number. Never give a number below market rate even if desperate.  For fresh graduates in Uganda starting salaries are typically UGX 800000 to 2000000 depending on the field."
General,Do you have any questions for us?,Behavioral,"Yes I do. What does success look like in this role after the first 90 days? What are the main challenges the team is currently facing? What opportunities are there for professional development and growth within the organisation?","Always have 2-3 questions ready. This shows genuine interest. Never say you have no questions. Do not ask about salary in the first interview unless they bring it up."
