job_title,company,sector,location,job_type,salary_ugx_monthly,experience_required,key_skills,description,application_platform
Software Developer,Andela,Technology,Kampala,Full-time Remote,4000000-6000000,1-3 years,"JavaScript,React,Node.js,Git","Build software for global clients while based in Uganda. Andela is Uganda's top tech employer and provides world-class training.",andela.com/apply
Data Analyst,Stanbic Bank Uganda,Banking,Kampala,Full-time,3000000-5000000,2-4 years,"SQL,Excel,Power BI,Python","Analyse banking data to improve products and customer experience. One of Uganda's top-paying data roles.",brightermonday.co.ug
UX Designer,Safeboda,Technology,Kampala,Full-time,2500000-4500000,1-3 years,"Figma,User Research,Prototyping","Design the user experience for Uganda's leading ride-hailing app used by millions.",linkedin.com/jobs
Digital Marketing Manager,Jumia Uganda,E-Commerce,Kampala,Full-time,2500000-4000000,2-4 years,"Social Media,Google Ads,SEO,Analytics","Lead digital marketing for Uganda's largest e-commerce platform.",brightermonday.co.ug
Network Engineer,MTN Uganda,Telecommunications,Kampala,Full-time,3500000-5500000,2-4 years,"Cisco,Network Security,CCNA","Maintain and expand MTN's network infrastructure across Uganda.",mtn.co.ug/careers
Accountant,KPMG Uganda,Professional Services,Kampala,Full-time,2500000-4500000,1-3 years,"Accounting,Auditing,CPA,Tax","Work on audit and advisory engagements for Uganda's largest organisations.",kpmg.com/ug
Project Manager,World Vision Uganda,NGO,Kampala,Full-time,4000000-7000000,3-5 years,"Project Management,Reporting,Stakeholder Management","Manage community development projects across Uganda districts.",worldvision.org.ug
Nurse,Aga Khan Hospital Uganda,Healthcare,Kampala,Full-time,1800000-3000000,0-2 years,"Patient Care,Clinical Skills,Emergency Response","Provide quality patient care at Uganda's leading private hospital.",akuhn.org
Software Developer,Fenix International,Technology,Kampala,Full-time,3500000-5500000,2-4 years,"Python,Django,React","Build technology solutions for off-grid energy access across Uganda and Africa.",fenixintl.com/careers
Business Analyst,DFCU Bank,Banking,Kampala,Full-time,3000000-5000000,2-3 years,"Requirements Analysis,SQL,Process Mapping","Bridge business and technology teams to improve banking operations.",dfcugroup.com
Cybersecurity Analyst,NITA-U,Government,Kampala,Full-time,3500000-6000000,2-4 years,"Network Security,SIEM,Incident Response","Protect Uganda's national IT infrastructure and government systems.",nita.go.ug
Data Scientist,Umeme Uganda,Energy,Kampala,Full-time,4000000-6500000,3-5 years,"Python,Machine Learning,SQL,Power BI","Use data science to optimise electricity distribution across Uganda.",umeme.co.ug
Graphic Designer,New Vision Group,Media,Kampala,Full-time,1500000-2500000,1-2 years,"Adobe Creative Suite,Illustration,Layout Design","Create visual content for Uganda's largest newspaper and media house.",newvision.co.ug
Human Resources Officer,Cipla Quality Chemical,Manufacturing,Kampala,Full-time,2000000-3500000,2-3 years,"Recruitment,Labour Law,HR Systems","Manage HR functions for Uganda's leading pharmaceutical manufacturer.",ciplaqualchem.com
Teacher/Lecturer,Makerere University,Education,Kampala,Full-time,2000000-4000000,2-5 years,"Subject Expertise,Research,Curriculum Development","Teach and conduct research at Uganda's premier university.",mak.ac.ug
Financial Analyst,Centenary Bank,Banking,Kampala,Full-time,2800000-4500000,2-3 years,"Financial Modeling,Excel,Reporting,CPA","Analyse financial performance and support investment decisions.",centenarybank.co.ug
Social Worker,UNICEF Uganda,NGO,Kampala,Contract,3000000-5000000,3-5 years,"Community Development,Case Management,Report Writing","Support child protection and community development programmes across Uganda.",unicef.org/uganda
Agricultural Scientist,NARO Uganda,Research,Kampala/Districts,Full-time,2000000-3500000,2-3 years,"Crop Science,Research,Field Work","Research improved crop varieties and farming practices for Uganda.",naro.go.ug
Lawyer/Advocate,Kampala Associated Advocates,Law,Kampala,Full-time,3000000-6000000,2-5 years,"Legal Research,Litigation,Contract Drafting","Handle corporate commercial and litigation matters for major Ugandan clients.",brightermonday.co.ug
Civil Engineer,Uganda National Roads Authority,Government,Nationwide,Full-time,3000000-5500000,2-4 years,"AutoCAD,Structural Design,Project Management","Design and supervise road construction and infrastructure projects nationwide.",unra.go.ug
IT Support Specialist,Airtel Uganda,Telecommunications,Kampala,Full-time,2000000-3500000,1-2 years,"Hardware,Networking,Windows Server,Troubleshooting","Provide IT support for Airtel Uganda's internal systems and infrastructure.",airtel.co.ug
Pharmacist,National Drug Authority Uganda,Government,Kampala,Full-time,2500000-4000000,0-2 years,"Drug Regulation,Pharmacology,Quality Control","Regulate and ensure safety of medicines in Uganda.",nda.or.ug
Journalist,NBS Television,Media,Kampala,Full-time,1500000-3000000,1-3 years,"Writing,Reporting,Video Production,Social Media","Report news and create content for one of Uganda's leading TV stations.",nbstv.ug
Product Manager,Yo Uganda,Technology,Kampala,Full-time,4000000-7000000,3-5 years,"Product Strategy,Agile,User Research,Data Analysis","Lead product development for Uganda's pioneering mobile money and payment solutions.",yo.co.ug
